"day";"toptags"
"2016-03-31";"blacklivesmatter,staywoke,tcot,wakeupamerica,mariowoods,2a,fredhampton,pjnet,ccot,breakingnews,you,rt,fifty50,whitegenocide,bencarson,anthonycage,rednationrising,cruzcrew,istandwithisrael,sandrabland,benghazi,aiyanajones,90sbabies,statenisland,selfcare,milwaukee,justiceformariowoods,laquanmcdonald,isis,greaterisrael,tgdn,gjm,morehouseman,blacktwitter,hillary,sb50,inspiring,wethepeople,gop,protestpoetry,realtalk,alllivesmatter,lynhbt,teaparty,kyballion,ppsellsbabyparts,patriots,aljazeera,sta,superbowl50,openborders,obama,blackdisabledlivesmatter,cointelpro,uniteright,trump2016,govricksynder,chanukah,hillaryclinton,makeamericagreatagain,friendlydb"
"2016-04-01";"teaparty,extremepovertydrivers,teapartynews,trump,hillary,2a"
"2016-04-02";"gop"
"2016-04-03";"blackhistory,trump2016,blackgirlsrock,blacktwitter"
"2016-04-04";"renewus,praying,history,pormiculpa"
"2016-04-05";"panamapapers,lapd"
"2016-04-06";"copicmarkers,is,bigups,blackgirlsrock,confederateheritagemonth,trump,blm,teaparty,hillary,votetrump"
"2016-04-07";"cruzcrew,nyprimary,americaneagle,tcot,berniesanders,benghazi,trump,makeamericagreata,controversialtruth,blacklivesmatter,boycottstarbucks,forbes,policestate,g4vusa,newyork,dstrong,stopwhitegenocide,opportunity,tbyg,votetr,2a,p2"
"2016-04-08";"blackart,buyblack,cruz,art"
"2016-04-09";"beingblackis"
"2016-04-10";"blacklivesmatter"
"2016-04-11";"my2wordnightmare"
"2016-04-13";"trump2016"
"2016-04-15";"instotus"
"2016-04-16";"patriots,instotus"
"2016-04-17";"blm,blacktolive,refugeeswelcome,blackgirlsrock,philippines,4demands"
"2016-04-18";"fashioncitiesafrica"
"2016-04-21";"ripchyna,ufc,verizonstrike,sarcasm,vpn,blacklivesmatter,feelthebern,byeken"
"2016-04-22";"blacklivesmatter,russellwestbrook,feelthebern,ibackthebirds,balibombing,princerip,stevenadams"
"2016-04-26";"staywoke"
"2016-04-27";"isisamovie"
"2016-04-29";"testforleadact,whitepeoplelove,views"
"2016-04-30";"prom2k16,righttovote,formerlyknownascalhoun,kickersarepeopletoo,prince,pickmetwitter"
"2016-05-02";"iwishitwasillegalto"
"2016-05-03";"visionzero,metgala,chasingdestinybet,savage"
